pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_16424_/C,sky130_fd_sc_hd__or3_1,input,0,0,3.320502,0.533725,0.141804
_16424_/X,sky130_fd_sc_hd__or3_1,output,0,4,2.642419,0.110615,0.214373
_16425_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.154764,0.167850,0.097398
_16425_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,3.077461,0.079739,0.068925
_16425_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.587334,0.533725,0.141804
_16425_/Y,sky130_fd_sc_hd__o21ai_0,output,0,4,2.587335,0.438224,0.135098
_16426_/A1,sky130_fd_sc_hd__a32o_1,input,0,0,3.664635,1.117665,0.241817
_16426_/A2,sky130_fd_sc_hd__a32o_1,input,0,0,2.642419,0.110615,0.214373
_16426_/A3,sky130_fd_sc_hd__a32o_1,input,0,0,2.587335,0.438224,0.135098
_16426_/B1,sky130_fd_sc_hd__a32o_1,input,0,0,3.579112,0.295857,0.106224
_16426_/B2,sky130_fd_sc_hd__a32o_1,input,0,0,1.898026,0.365968,0.181909
_16426_/X,sky130_fd_sc_hd__a32o_1,output,0,2,1.898026,0.141076,0.099243
_16427_/A1,sky130_fd_sc_hd__a21oi_1,input,0,0,2.621584,0.504982,0.079485
_16427_/A2,sky130_fd_sc_hd__a21oi_1,input,0,0,2.972867,0.086209,0.070557
_16427_/B1,sky130_fd_sc_hd__a21oi_1,input,0,0,3.542410,1.207927,0.285437
_16427_/Y,sky130_fd_sc_hd__a21oi_1,output,0,6,2.621584,0.275049,0.180803
_16428_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.458052,0.504982,0.079485
_16428_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.765799,0.086209,0.070557
_16428_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.621584,0.275049,0.180803
_16428_/Y,sky130_fd_sc_hd__o21ai_0,output,0,4,2.458052,0.358902,0.100574
_16429_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.231938,1.117665,0.241817
_16429_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.314076,0.624696,0.228820
_16429_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.458052,0.358902,0.100574
_16429_/Y,sky130_fd_sc_hd__o21ai_0,output,0,2,2.314076,0.386636,0.147787
_16430_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.613339,0.173653,0.091571
_16430_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.648595,0.148099,0.086172
_16430_/Y,sky130_fd_sc_hd__xnor2_1,output,0,9,2.613339,0.583430,0.106551
_16431_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.113249,0.607801,0.126499
_16431_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.935795,0.583430,0.106551
_16431_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.684283,1.117665,0.241817
_16431_/Y,sky130_fd_sc_hd__o21ai_0,output,0,6,2.935795,0.439688,0.205175
_16432_/A1,sky130_fd_sc_hd__a21oi_1,input,0,0,2.548383,0.607801,0.126499
_16432_/A2,sky130_fd_sc_hd__a21oi_1,input,0,0,2.613339,0.583430,0.106551
_16432_/B1,sky130_fd_sc_hd__a21oi_1,input,0,0,2.935795,0.439688,0.205175
_16432_/Y,sky130_fd_sc_hd__a21oi_1,output,0,4,2.548383,0.335729,0.116559
_16433_/A1,sky130_fd_sc_hd__a21o_1,input,0,0,1.976092,0.148099,0.086172
_16433_/A2,sky130_fd_sc_hd__a21o_1,input,0,0,3.330146,0.295857,0.106224
_16433_/B1,sky130_fd_sc_hd__a21o_1,input,0,0,2.548383,0.335729,0.116559
_16433_/X,sky130_fd_sc_hd__a21o_1,output,0,2,1.976092,0.089574,0.073904
_16434_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,2.594053,0.090214,0.071524
_16434_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,3.040129,0.089830,0.072142
_16434_/Y,sky130_fd_sc_hd__xnor2_1,output,0,6,2.594053,0.431690,0.083792
_16435_/A,sky130_fd_sc_hd__nand2_1,input,0,0,3.102729,1.117665,0.241817
_16435_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.594053,0.431690,0.083792
_16435_/Y,sky130_fd_sc_hd__nand2_1,output,0,4,2.594053,0.107384,0.173423
_16436_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.231937,1.117665,0.241817
_16436_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.370685,0.624682,0.228820
_16436_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.594053,0.107384,0.173423
_16436_/Y,sky130_fd_sc_hd__o21ai_0,output,0,2,2.370685,0.386636,0.147787
_16437_/A,sky130_fd_sc_hd__xor2_1,input,0,0,2.575471,0.174049,0.091360
_16437_/B,sky130_fd_sc_hd__xor2_1,input,0,0,2.434108,0.368048,0.183622
_16437_/X,sky130_fd_sc_hd__xor2_1,output,0,8,2.434109,0.500977,0.119563
_16438_/A,sky130_fd_sc_hd__xnor2_1,input,0,0,3.464009,0.088493,0.071508
_16438_/B,sky130_fd_sc_hd__xnor2_1,input,0,0,2.434109,0.500977,0.119563
_16438_/Y,sky130_fd_sc_hd__xnor2_1,output,0,6,2.434108,0.431690,0.086615
_16439_/A,sky130_fd_sc_hd__nand2_1,input,0,0,3.102729,1.117665,0.241817
_16439_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.434108,0.431690,0.086615
_16439_/Y,sky130_fd_sc_hd__nand2_1,output,0,4,2.434109,0.107397,0.173423
_16440_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,3.231937,1.117665,0.241817
_16440_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,2.261044,0.624532,0.228820
_16440_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.434109,0.107397,0.173423
_16440_/Y,sky130_fd_sc_hd__o21ai_0,output,0,2,2.261044,0.386636,0.147787
_16441_/A1,sky130_fd_sc_hd__a21oi_1,input,0,0,2.793270,0.086054,0.070760
_16441_/A2,sky130_fd_sc_hd__a21oi_1,input,0,0,2.657017,0.603888,0.140316
_16441_/B1,sky130_fd_sc_hd__a21oi_1,input,0,0,3.550064,1.207927,0.285437
_16441_/Y,sky130_fd_sc_hd__a21oi_1,output,0,6,2.657017,0.275142,0.180803
