pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
_4374_/B,sky130_fd_sc_hd__nand2_1,input,0,0,3.437785,0.508766,0.156361
_4374_/Y,sky130_fd_sc_hd__nand2_1,output,0,5,1.999773,0.126737,0.087973
_4375_/A1,sky130_fd_sc_hd__a22oi_1,input,0,0,2.963602,0.610471,0.175193
_4375_/A2,sky130_fd_sc_hd__a22oi_1,input,0,0,2.220883,0.179547,0.093398
_4375_/B1,sky130_fd_sc_hd__a22oi_1,input,0,0,2.154894,0.090464,0.071990
_4375_/B2,sky130_fd_sc_hd__a22oi_1,input,0,0,2.620097,0.371278,0.130753
_4375_/Y,sky130_fd_sc_hd__a22oi_1,output,0,11,2.154894,0.565945,0.160639
_4376_/A,sky130_fd_sc_hd__nand2_1,input,0,0,1.999773,0.126737,0.087973
_4376_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.581308,0.071726,0.066466
_4376_/Y,sky130_fd_sc_hd__nand2_1,output,0,3,1.999773,0.111615,0.055246
_4377_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.118065,0.166582,0.090702
_4377_/B,sky130_fd_sc_hd__nand2_1,input,0,0,3.439713,0.508766,0.156361
_4377_/Y,sky130_fd_sc_hd__nand2_1,output,0,5,2.118065,0.126737,0.087973
_4378_/A1,sky130_fd_sc_hd__a22oi_1,input,0,0,3.362886,0.610471,0.175193
_4378_/A2,sky130_fd_sc_hd__a22oi_1,input,0,0,2.668084,0.145646,0.085753
_4378_/B1,sky130_fd_sc_hd__a22oi_1,input,0,0,2.596829,0.126651,0.081421
_4378_/B2,sky130_fd_sc_hd__a22oi_1,input,0,0,3.022406,0.371278,0.130753
_4378_/Y,sky130_fd_sc_hd__a22oi_1,output,0,11,2.596829,0.456262,0.138670
_4379_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.118065,0.126737,0.087973
_4379_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.596829,0.085178,0.070407
_4379_/Y,sky130_fd_sc_hd__nand2_1,output,0,3,2.118065,0.111630,0.055246
_4380_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.059999,0.123627,0.080690
_4380_/B,sky130_fd_sc_hd__nand2_1,input,0,0,3.437043,0.508766,0.156361
_4380_/Y,sky130_fd_sc_hd__nand2_1,output,0,5,2.059999,0.126737,0.087973
_4381_/A1,sky130_fd_sc_hd__a22oi_1,input,0,0,3.363889,0.610471,0.175193
_4381_/A2,sky130_fd_sc_hd__a22oi_1,input,0,0,2.695796,0.167215,0.090644
_4381_/B1,sky130_fd_sc_hd__a22oi_1,input,0,0,2.644954,0.153766,0.087848
_4381_/B2,sky130_fd_sc_hd__a22oi_1,input,0,0,3.023409,0.371278,0.130753
_4381_/Y,sky130_fd_sc_hd__a22oi_1,output,0,13,2.644954,0.456262,0.138670
_4382_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.059999,0.126737,0.087973
_4382_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.644954,0.085178,0.070407
_4382_/Y,sky130_fd_sc_hd__nand2_1,output,0,3,2.059999,0.111630,0.055246
_4384_/A,sky130_fd_sc_hd__nand2_1,input,0,0,1.934792,0.115403,0.078712
_4384_/B,sky130_fd_sc_hd__nand2_1,input,0,0,3.436532,0.508766,0.156361
_4384_/Y,sky130_fd_sc_hd__nand2_1,output,0,5,1.934792,0.126737,0.087973
_4385_/A1,sky130_fd_sc_hd__a22oi_1,input,0,0,3.361806,0.610471,0.175193
_4385_/A2,sky130_fd_sc_hd__a22oi_1,input,0,0,2.679823,0.222719,0.103258
_4385_/B1,sky130_fd_sc_hd__a22oi_1,input,0,0,2.614074,0.090342,0.071989
_4385_/B2,sky130_fd_sc_hd__a22oi_1,input,0,0,3.021326,0.371278,0.130753
_4385_/Y,sky130_fd_sc_hd__a22oi_1,output,0,11,2.614074,0.456262,0.138670
_4386_/A,sky130_fd_sc_hd__nand2_1,input,0,0,1.934792,0.126737,0.087973
_4386_/B,sky130_fd_sc_hd__nand2_1,input,0,0,2.614074,0.085178,0.070407
_4386_/Y,sky130_fd_sc_hd__nand2_1,output,0,3,1.934792,0.111630,0.055246
_4387_/A,sky130_fd_sc_hd__inv_1,input,0,0,2.931227,0.105846,0.076278
_4387_/Y,sky130_fd_sc_hd__inv_1,output,0,343,2.931227,0.146724,0.050173
_4388_/A,sky130_fd_sc_hd__nand2_1,input,0,0,2.272878,0.106857,0.076237
_4388_/B,sky130_fd_sc_hd__nand2_1,input,0,0,3.475418,0.508766,0.156361
_4388_/Y,sky130_fd_sc_hd__nand2_1,output,0,5,2.272878,0.107573,0.079162
_4389_/A1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.931227,0.064400,0.064989
_4389_/A2,sky130_fd_sc_hd__o21ai_0,input,0,0,3.427879,0.508766,0.156361
_4389_/B1,sky130_fd_sc_hd__o21ai_0,input,0,0,2.272878,0.107573,0.079162
_4389_/Y,sky130_fd_sc_hd__o21ai_0,output,0,3,2.272878,0.375033,0.096895
_4390_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,2.263384,0.173357,0.092059
_4390_/A1,sky130_fd_sc_hd__mux2_2,input,0,0,2.247444,0.161459,0.089499
_4390_/S,sky130_fd_sc_hd__mux2_2,input,0,0,3.582330,0.508766,0.156361
_4390_/X,sky130_fd_sc_hd__mux2_2,output,0,3,2.247444,0.091874,0.156025
_4391_/A0,sky130_fd_sc_hd__mux2_2,input,0,0,2.282937,0.179512,0.093540
