pin_id,cell_type,direction,is_clk,fanout,slack_min,slew_r,slew_f
tapmem[98][10]$_DFFE_PP_/CLK,sky130_fd_sc_hd__edfxtp_1,input,1,0,3.033474,0.000000,0.000000
tapmem[98][11]$_DFFE_PP_/D,sky130_fd_sc_hd__edfxtp_1,input,0,0,1.313268,0.000000,0.000000
tapmem[98][11]$_DFFE_PP_/DE,sky130_fd_sc_hd__edfxtp_1,input,0,0,3.373085,3.263764,0.430411
tapmem[98][11]$_DFFE_PP_/Q,sky130_fd_sc_hd__edfxtp_1,output,0,16,3.337386,0.133187,0.206354
tapmem[98][11]$_DFFE_PP_/CLK,sky130_fd_sc_hd__edfxtp_1,input,1,0,3.337386,0.000000,0.000000
tapmem[98][12]$_DFFE_PP_/D,sky130_fd_sc_hd__edfxtp_1,input,0,0,1.313268,0.000000,0.000000
tapmem[98][12]$_DFFE_PP_/DE,sky130_fd_sc_hd__edfxtp_1,input,0,0,3.373085,3.263764,0.430411
tapmem[98][12]$_DFFE_PP_/Q,sky130_fd_sc_hd__edfxtp_1,output,0,12,2.595757,0.134270,0.206225
tapmem[98][12]$_DFFE_PP_/CLK,sky130_fd_sc_hd__edfxtp_1,input,1,0,2.595757,0.000000,0.000000
tapmem[98][13]$_DFFE_PP_/D,sky130_fd_sc_hd__edfxtp_1,input,0,0,1.313268,0.000000,0.000000
tapmem[98][13]$_DFFE_PP_/DE,sky130_fd_sc_hd__edfxtp_1,input,0,0,3.373085,3.263764,0.430411
tapmem[98][13]$_DFFE_PP_/Q,sky130_fd_sc_hd__edfxtp_1,output,0,14,2.876072,0.134270,0.206225
tapmem[98][13]$_DFFE_PP_/CLK,sky130_fd_sc_hd__edfxtp_1,input,1,0,2.876072,0.000000,0.000000
tapmem[98][14]$_DFFE_PP_/D,sky130_fd_sc_hd__edfxtp_1,input,0,0,1.313268,0.000000,0.000000
tapmem[98][14]$_DFFE_PP_/DE,sky130_fd_sc_hd__edfxtp_1,input,0,0,3.373085,3.263764,0.430411
tapmem[98][14]$_DFFE_PP_/Q,sky130_fd_sc_hd__edfxtp_1,output,0,16,3.033591,0.134270,0.206225
tapmem[98][14]$_DFFE_PP_/CLK,sky130_fd_sc_hd__edfxtp_1,input,1,0,3.033591,0.000000,0.000000
tapmem[98][15]$_DFFE_PP_/D,sky130_fd_sc_hd__edfxtp_1,input,0,0,1.313268,0.000000,0.000000
tapmem[98][15]$_DFFE_PP_/DE,sky130_fd_sc_hd__edfxtp_1,input,0,0,3.373085,3.263764,0.430411
tapmem[98][15]$_DFFE_PP_/Q,sky130_fd_sc_hd__edfxtp_1,output,0,18,3.601955,0.133187,0.206354
tapmem[98][15]$_DFFE_PP_/CLK,sky130_fd_sc_hd__edfxtp_1,input,1,0,3.601955,0.000000,0.000000
tapmem[98][1]$_DFFE_PP_/D,sky130_fd_sc_hd__edfxtp_1,input,0,0,1.313268,0.000000,0.000000
tapmem[98][1]$_DFFE_PP_/DE,sky130_fd_sc_hd__edfxtp_1,input,0,0,3.373085,3.263764,0.430411
tapmem[98][1]$_DFFE_PP_/Q,sky130_fd_sc_hd__edfxtp_1,output,0,12,2.595757,0.134270,0.206225
tapmem[98][1]$_DFFE_PP_/CLK,sky130_fd_sc_hd__edfxtp_1,input,1,0,2.595757,0.000000,0.000000
tapmem[98][2]$_DFFE_PP_/D,sky130_fd_sc_hd__edfxtp_1,input,0,0,1.313268,0.000000,0.000000
tapmem[98][2]$_DFFE_PP_/DE,sky130_fd_sc_hd__edfxtp_1,input,0,0,3.373085,3.263764,0.430411
tapmem[98][2]$_DFFE_PP_/Q,sky130_fd_sc_hd__edfxtp_1,output,0,22,4.345653,0.133187,0.206354
tapmem[98][2]$_DFFE_PP_/CLK,sky130_fd_sc_hd__edfxtp_1,input,1,0,4.345653,0.000000,0.000000
tapmem[98][3]$_DFFE_PP_/D,sky130_fd_sc_hd__edfxtp_1,input,0,0,1.313268,0.000000,0.000000
tapmem[98][3]$_DFFE_PP_/DE,sky130_fd_sc_hd__edfxtp_1,input,0,0,3.373085,3.263764,0.430411
tapmem[98][3]$_DFFE_PP_/Q,sky130_fd_sc_hd__edfxtp_1,output,0,20,3.704947,0.133187,0.206354
tapmem[98][3]$_DFFE_PP_/CLK,sky130_fd_sc_hd__edfxtp_1,input,1,0,3.704947,0.000000,0.000000
